b0455;UHA	NC_000913.3	100.000	145	0	0	1	145	476303	476447	6.63e-73	268
b4425;UHA	NC_000913.3	100.000	145	0	0	1	145	1286921	1287065	6.63e-73	268
b4425;UHA	NC_000913.3	95.205	146	5	2	1	145	1287099	1287243	3.13e-61	230
b4425;UHA	NC_000913.3	93.793	145	9	0	1	145	1286743	1286887	6.77e-58	219
b4429;UHA	NC_000913.3	100.000	145	0	0	1	145	1491974	1492118	6.63e-73	268
b4431;UHA	NC_000913.3	100.000	145	0	0	1	145	1770227	1770371	6.63e-73	268
b4432;UHA	NC_000913.3	100.000	145	0	0	1	145	1922921	1923065	6.63e-73	268
b4439;UHA	NC_000913.3	100.000	145	0	0	1	145	2312939	2313083	6.63e-73	268
b4440;UHA	NC_000913.3	100.000	145	0	0	1	145	2653710	2653854	6.63e-73	268
b4440;UHA	NC_000913.3	82.069	145	20	2	2	141	2653385	2653528	7.06e-28	119
b4442;UHA	NC_000913.3	100.000	145	0	0	1	145	2814657	2814801	6.63e-73	268
b4444;UHA	NC_000913.3	100.000	145	0	0	1	145	2975957	2976101	6.63e-73	268
b4445;UHA	NC_000913.3	100.000	145	0	0	1	145	2976159	2976303	6.63e-73	268
b4454;UHA	NC_000913.3	100.000	145	0	0	1	145	3699991	3700135	6.63e-73	268
b4459;UHA	NC_000913.3	100.000	145	0	0	1	145	4277781	4277925	6.63e-73	268
b4616;UHA	NC_000913.3	100.000	145	0	0	1	145	3852973	3853117	6.63e-73	268
b4698;UHA	NC_000913.3	100.000	145	0	0	1	145	1622672	1622816	6.63e-73	268
b4701;UHA	NC_000913.3	100.000	145	0	0	1	145	2887208	2887352	6.63e-73	268
b4718;UHA	NC_000913.3	100.000	145	0	0	1	145	3658847	3658991	6.63e-73	268
b4760;UHA	NC_000913.3	100.000	145	0	0	1	145	3808021	3808165	6.63e-73	268
b4761;UHA	NC_000913.3	100.000	145	0	0	1	145	2640450	2640594	6.63e-73	268
b4764;UHA	NC_000913.3	100.000	145	0	0	1	145	764905	765049	6.63e-73	268
b4804;UHA	NC_000913.3	100.000	145	0	0	1	145	3936900	3937044	6.63e-73	268
b4805;UHA	NC_000913.3	100.000	145	0	0	1	145	2737236	2737380	6.63e-73	268
b4808;UHA	NC_000913.3	100.000	145	0	0	1	145	708091	708235	6.63e-73	268
b4809;UHA	NC_000913.3	100.000	145	0	0	1	145	194639	194783	6.63e-73	268
b4810;UHA	NC_000913.3	100.000	145	0	0	1	145	92340	92484	6.63e-73	268
b4827;UHA	NC_000913.3	100.000	145	0	0	1	145	2001767	2001911	6.63e-73	268
b4828;UHA	NC_000913.3	100.000	145	0	0	1	145	1977063	1977207	6.63e-73	268
b4833;UHA	NC_000913.3	100.000	145	0	0	1	145	1418260	1418404	6.63e-73	268
b4835;UHA	NC_000913.3	100.000	145	0	0	1	145	607588	607732	6.63e-73	268
b0455;DHA	NC_000913.3	100.000	145	0	0	1	145	476562	476706	6.63e-73	268
b4425;DHA	NC_000913.3	100.000	145	0	0	1	145	1287237	1287381	6.63e-73	268
b4425;DHA	NC_000913.3	98.958	96	0	1	7	101	1287537	1287632	1.92e-43	171
b4425;DHA	NC_000913.3	97.647	85	2	0	8	92	4175556	4175472	3.24e-36	147
b4429;DHA	NC_000913.3	100.000	145	0	0	1	145	1492176	1492320	6.63e-73	268
b4431;DHA	NC_000913.3	100.000	145	0	0	1	145	1770478	1770622	6.63e-73	268
b4432;DHA	NC_000913.3	100.000	145	0	0	1	145	1923338	1923482	6.63e-73	268
b4439;DHA	NC_000913.3	100.000	145	0	0	1	145	2313177	2313321	6.63e-73	268
b4440;DHA	NC_000913.3	100.000	145	0	0	1	145	2654159	2654303	6.63e-73	268
b4442;DHA	NC_000913.3	100.000	145	0	0	1	145	2814875	2815019	6.63e-73	268
b4444;DHA	NC_000913.3	100.000	145	0	0	1	145	2976190	2976334	6.63e-73	268
b4445;DHA	NC_000913.3	100.000	145	0	0	1	145	2976386	2976530	6.63e-73	268
b4454;DHA	NC_000913.3	100.000	145	0	0	1	145	3700200	3700344	6.63e-73	268
b4454;DHA	NC_000913.3	93.243	74	4	1	1	74	1269922	1269994	1.53e-24	108
b4454;DHA	NC_000913.3	98.333	60	1	0	1	60	1269387	1269446	5.50e-24	106
b4454;DHA	NC_000913.3	96.667	60	1	1	1	60	1270457	1270515	9.20e-22	99.0
b4459;DHA	NC_000913.3	100.000	145	0	0	1	145	4278067	4278211	6.63e-73	268
b4616;DHA	NC_000913.3	100.000	145	0	0	1	145	3853258	3853402	6.63e-73	268
b4698;DHA	NC_000913.3	100.000	145	0	0	1	145	1622915	1623059	6.63e-73	268
b4701;DHA	NC_000913.3	100.000	145	0	0	1	145	2887412	2887556	6.63e-73	268
b4718;DHA	NC_000913.3	100.000	145	0	0	1	145	3659083	3659227	6.63e-73	268
b4760;DHA	NC_000913.3	100.000	145	0	0	1	145	3808239	3808383	6.63e-73	268
b4761;DHA	NC_000913.3	100.000	145	0	0	1	145	2640687	2640831	6.63e-73	268
b4764;DHA	NC_000913.3	100.000	145	0	0	1	145	765151	765295	6.63e-73	268
b4804;DHA	NC_000913.3	100.000	145	0	0	1	145	3937279	3937423	6.63e-73	268
b4805;DHA	NC_000913.3	100.000	145	0	0	1	145	2737543	2737687	6.63e-73	268
b4808;DHA	NC_000913.3	100.000	145	0	0	1	145	708334	708478	6.63e-73	268
b4809;DHA	NC_000913.3	100.000	145	0	0	1	145	194845	194989	6.63e-73	268
b4810;DHA	NC_000913.3	100.000	145	0	0	1	145	92659	92803	6.63e-73	268
b4827;DHA	NC_000913.3	100.000	145	0	0	1	145	2002107	2002251	6.63e-73	268
b4828;DHA	NC_000913.3	100.000	145	0	0	1	145	1977303	1977447	6.63e-73	268
b4833;DHA	NC_000913.3	100.000	145	0	0	1	145	1418503	1418647	6.63e-73	268
b4835;DHA	NC_000913.3	100.000	145	0	0	1	145	607793	607937	6.63e-73	268
